Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,First_diff,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close
03-01-2000,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,1.11E+14,,1482.15,1592.90,1482.15,1592.20
04-01-2000,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,2.50E+14,14.15,1594.4,1641.95,1594.40,1638.70
05-01-2000,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,7.37E+14,11.27,1634.55,1635.50,1555.05,1595.80
06-01-2000,RELIANCE,EQ,282.5,289,300.7,289,293.5,294.35,295.45,15682286,4.63E+14,20.66,1595.8,1639.00,1595.80,1617.60
07-01-2000,RELIANCE,EQ,294.35,295,317.9,293,314.5,314.55,308.91,19870977,6.14E+14,13.46,1616.6,1628.25,1597.20,1613.30
10-01-2000,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,4.19E+14,3.44,1615.65,1662.10,1614.95,1632.90
11-01-2000,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,3.72E+14,-15.95,1633.25,1639.90,1548.25,1572.50
12-01-2000,RELIANCE,EQ,288.5,289,305,282.15,304.7,301.7,294.57,12109507,3.57E+14,-1.83,1572.3,1631.55,1571.70,1624.80
13-01-2000,RELIANCE,EQ,301.7,306,316.4,304.1,309.75,311.85,311.79,17076042,5.32E+14,17.22,1627.85,1671.15,1613.65,1621.40
14-01-2000,RELIANCE,EQ,311.85,309.5,321.65,309.5,317,316.3,316.17,13460592,4.26E+14,4.38,1622.15,1627.40,1591.40,1622.70
17-01-2000,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,3.39E+14,-0.4,1623.5,1668.45,1604.65,1611.60
18-01-2000,RELIANCE,EQ,308.75,309,318.95,305.55,318.25,314.2,312.14,10083321,3.15E+14,-3.63,1611.65,1615.15,1587.85,1606.70
19-01-2000,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,3.69E+14,9.03,1610.05,1644.45,1608.85,1634.80
20-01-2000,RELIANCE,EQ,319.6,320,324.9,310.55,311.5,312.85,318.95,15428711,4.92E+14,-2.22,1634.65,1644.40,1596.65,1601.10
21-01-2000,RELIANCE,EQ,312.85,312.7,328.4,312,327.5,326.35,322.05,17137072,5.52E+14,3.1,1601.25,1626.50,1593.20,1620.60
24-01-2000,RELIANCE,EQ,326.35,325.5,331.85,322,326.5,326.15,327.87,13163301,4.32E+14,5.82,1623.05,1645.00,1608.30,1613.60
25-01-2000,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949,3.14E+14,-6.1,1612.95,1613.65,1579.55,1586.40
27-01-2000,RELIANCE,EQ,319.95,329,336.8,322.7,334.5,334.95,331.67,15014556,4.98E+14,9.9,1600.5,1633.55,1600.05,1603.90
